사무용품 집계표,,
,,
품명,단위,단가
 AA건전지 , BOX ,"25,000"
AAA건전지, BOX ,"25,000"
9V건전지,EA,"1,500"
9V건전지,EA,"1,500"
듀라셀 건전지,EA,"4,000"
칼(얇은것),EA,"1,000"
충전지 건건지,EA,"10,000"
AG12 건전지,EA,"1,000"
LR44 건전지,EA,"1,000"
LR41 건전지,EA,"2,000"
CR2025 건전지,EA,"3,000"
CR2032 건전지,EA,"3,000"
칼(두꺼운거),EA,500
컷트칼날,box,"5,000"
 일본칼날 BD-100 ,BOX,"22,000"
 쇠자(15cm) ,EA,"2,000"
 쇠자(30cm) ,EA,"2,000"
 자(15cm) ,EA,"1,500"
 자(30cm) ,EA,"2,000"
마분지(A4)속,묶음,"10,000"
딱풀(小), EA ,600
딱풀(大), EA ,"1,000"
형광펜,SET,"1,500"
형광펜(보라색),EA,400
형광펜(초록),EA,"1,899"
포스트잇플래그(얇은거),EA,"1,900"
 포스트잇(51*38) ,EA,"2,000"
 포스트잇(51*76) ,EA,"2,000"
포스트잇(76*76),EA,"2,500"
포스트잇(102*76),EA,"3,000"
포스트잇 5색,EA,"2,100"
박스테이프,EA,"1,500"
유리테이프(기본형),EA,"1,500"
 포스트잇플래그(종이) ,EA,"2,700"
 스카치테이프(소) , EA ,"2,500"
 스카치테이프(리필) , EA ,"2,500"
 매직테이프(대) , EA ,"3,000"
 아크릴 명찰케이스 , EA ,"1,800"
 노끈 ,EA,"1,500"
매직테이프(대)리필,EA,"3,000"
 매직테이프(소) , EA ,"2,000"
매직테이프(소)리필, EA ,"2,100"
수정테이프(액체), EA ,"1,500"
수정테이프,EA,"1,500"
수정테이프 리필,EA,"1,501"
색연필(녹색),EA,"1,000"
유성매직(검정),통,"7,200"
유성매직(파랑),통,"7,201"
유성매직(빨강),통,"7,202"
네임펜(일본산),통,"7,203"
네임펜(검정),통,"7,204"
네임펜(파랑),통,"7,205"
네임펜(빨강),통,"7,206"
보드마카(검정),통,"7,207"
보드마카(파랑),통,"7,208"
보드마카(빨강),통,"7,209"
색연필(남색),통,"7,210"
화이트보드지우개,통,"7,211"
철끈,통,"7,212"
바인더화일(大),통,"7,213"
슬리퍼,통,"7,214"
구두끈,통,"7,215"
스프링파일,통,"7,216"
A5세금계산서철(연두색),통,"7,217"
A5세금계산서철(핑크색),통,"7,218"
포스터 붓(2cm),통,"7,219"
붓(폭3cm),통,"7,220"
액자(특허증사이즈),통,"7,000"
 클립 ,통,"7,000"
 날클립 기계(중) ,통,"7,223"
 날클립심 ,통,"7,224"
 칼라집게(특대) ,통,"7,225"
 칼라집게(대) ,통,"7,226"
 칼라집게(중) ,통,"7,227"
 칼라집게(소) ,통,"7,228"
 파카볼펜심 ,EA,"12,000"
속기용볼펜(검정),BOX,"6,000"
 속기용볼펜(파랑) ,BOX,"6,000"
 속기용볼펜(빨강) ,BOX,"6,000"
 동아 스피드볼 검정 볼펜 (0.5) , BOX ,"6,000"
 테이프식 후크 , EA ,"2,000"
 이어폰 , EA ,"20,000"
 3단서류받침대 , EA ,"20,000"
 화일박스 , EA ,"5,000"
 제트스트림 , EA ,"1,800"
 제트스트림 멀티 볼펜 , EA ,"6,000"
 3색 볼펜 ( 샤프달린거 ) , EA ,"6,000"
 3색 볼펜 ( 0.38) , EA ,"1,000"
 지워지는 볼펜(0.5mm) , EA ,"4,000"
 지워지는 볼펜(0.7mm) , EA ,"4,000"
 지워지는 볼펜 3색 , EA ,"6,000"
 지워지는 볼펜심리필 , EA ,"4,500"
 검정색 볼펜 , EA ,"1,100"
 동아0.5 볼펜(검정) , EA ,"3,000"
 동아0.5 볼펜(빨강) , EA ,"3,000"
 동아0.5 볼펜(파랑) , EA ,"3,000"
 동아0.7볼펜(검정) , 통 ,"12,000"
 볼펜심리필 , EA ,"3,200"
 PARKER 1.0 리필 ,통,"8,000"
 BIC볼펜(fine-검정) ,통,"6,000"
 BIC볼펜(fine-파랑) ,통,"6,000"
 BIC볼펜(fine-빨강) ,통,"6,000"
 JAVA 9000(수성) 검정 ,통,"3,600"
 지우개(미술용) , EA ,500
 슬라이드 지우개 , EA ,"3,000"
 지우개심 , EA ,800
 연필(HB) , 자루 ,300
 연필(B) ,자루,300
 연필꽂이 , EA ,"5,000"
 제도샤프(0.5) , EA ,"1,000"
 제도샤프(0.3) , EA ,"1,000"
 Tape 디스팬서  , EA ,"5,000"
 샤프심(0.7/B) , EA ,500
 샤프심(0.3/B) , EA ,500
 색연필(빨강) , BOX ,"3,600"
 색연필(파랑) , BOX ,"3,600"
 색연필(남색) , EA ,400
 동아1.0볼펜 ,통,"7,200"
 노트 ,권,"2,000"
 OA A4용지(하늘색) ,묶음,"4,000"
 대학노트(연두색) ,권,"1,500"
 대학노트(파랑색) ,권,"1,501"
 스프링노트(종이좋은것) ,권,"1,502"
 스프링노트 ,권,"5,000"
 명함통 ,EA,"13,000"
OHP필름,통,"20,000"
코팅지,통,"18,000"
 JAVA 유성펜 (검정) ,통,"3,600"
형광펜(연두색),통,"4,000"
형광펜(주황색),ea,600
형광펜(보라색),ea,"4,800"
 스탬프大(빨강) , EA ,"5,000"
 스탬프(빨강) , EA ,"2,000"
 스탬프(파랑) , EA ,"1,500"
 스탬프(검정) , EA ,"3,000"
 몽블랑잉크 , EA ,"28,000"
스탬프용 잉크(빨강),EA,"1,500"
스탬프용 잉크(파랑),EA,"1,500"
스탬프용 잉크(검정),EA,"1,500"
자동스탬프용 잉크(빨강),EA,"8,000"
미니인주,EA,"1,500"
 원터치인주 ,EA,"6,000"
 컴퓨터용싸인펜 ,통,500
 양면테이프 ,EA,"1,500"
 쪽가위 ,EA,700
 순간접착제(小) ,EA,"3,000"
 가위(大) ,EA,"7,000"
 가위 ,EA,"7,000"
가위(小),EA,"4,000"
 펀치 , EA ,"12,000"
 계산기 ,EA,"25,000"
 휴지통(3호) , EA ,"8,000"
 부품박스 CA504-2 , EA ,"25,000"
스템플러( 스몰 ),EA,"6,000"
스템플러(10호),EA,"6,000"
