소모품 집계표,,,,,
,,,,,
품      명,단위,단 가,,,
가스총(대),EA," 11,000 ",,,
가스총(소),EA," 7,500 ",,,
칼라행주,EA," 1,000 ",,,
칼라행주(네모),EA," 1,000 ",,,
사각미니티슈(식당냅킨),BOX," 60,500 ",,,
기름종이(리빙티슈),BOX," 40,700 ",,,
와이퍼타올 ,BOX," 41,000 ",,,
노랑장갑(속장갑)-특대,묶음," 12,000 ",,,
노랑장갑(속장갑)-대,묶음," 12,000 ",,,
미니솔,EA," 2,000 ",,,
손잡이 솔,EA," 2,000 ",,,
면장갑 (두꺼운것 ),묶음," 12,000 ",,,
면장갑 ( 점박이 ),묶음," 16,000 ",,,
흰 면장갑,묶음," 12,000 ",,,
파일럿 장갑,묶음," 5,500 ",,,
고무장갑(빨강),켤레," 2,400 ",,,
지압실내화,켤레," 8,000 ",,,
고무장갑 (핑크),켤레," 2,400 ",,,
나일론 장갑(노랑),켤레, 550 ,,,
제전장갑(小),켤레, 899 ,,,
제전장갑(大),켤레, 900 ,,,
타올(두꺼운거),장," 4,500 ",,,
타올(흰색 ),장," 4,800 ",,,
초파리제거제 (스프레이),EA," 13,000 ",,,
퐁퐁(대),말," 12,000 ",,,
퐁퐁(소),BOX," 38,500 ",,,
주방용 퐁퐁,ea," 6,000 ",,,
타올,장," 4,800 ",,,
타올(흰색 샤워장수건),장," 4,800 ",,,
타올(흰색 샤워장수건),장," 4,800 ",,,
수세미(두꺼운것),EA," 1,700 ",,,
수세미,EA," 1,500 ",,,
쇠수세미,EA," 1,000 ",,,
주차금지,EA," 12,000 ",,,
주방 수세미,EA," 5,500 ",,,
옥시크린(리필말고 통),EA," 9,500 ",,,
유한락스(소),EA," 9,000 ",,,
유한락스(대),말," 14,000 ",,,
식초 업소용 말통,말," 15,000 ",,,
플러그,EA," 1,700 ",,,
누전차단기,EA," 45,000 ",,,
콘센트 5M,EA," 22,000 ",,,
콘센트 3M,EA," 17,000 ",,,
콘센트 4구,EA," 15,000 ",,,
콘센트,EA," 2,500 ",,,
유한 향락스(大),말," 14,000 ",,,
향락스(小),EA," 9,000 ",,,
파란행주,EA," 1,900 ",,,
흰행주,EA," 1,500 ",,,
타올,묶음," 16,000 ",,,
타올(흰색 샤워장수건),장," 4,800 ",,,
노란고무장갑(특대),EA," 2,400 ",,,
노란고무장갑(소),EA," 2,400 ",,,
하이타이3kg ( 컵있는것),EA," 2,401 ",,,
스파크 3kg,EA," 8,000 ",,,
갈대빗자루,EA," 6,000 ",,,
스파크,EA," 9,800 ",,,
쿠킹호일(특대),EA," 6,500 ",,,
마대자루,EA," 2,800 ",,,
하이타이(4kg),EA," 9,000 ",,,
일회용 위생장갑,통," 1,600 ",,,
키친타올 (4개들이),묶음," 14,400 ",,,
냉동실탈취제,EA," 5,700 ",,,
냉장고탈취제,EA," 5,700 ",,,
스폰지수세미,EA," 1,700 ",,,
냉장고냄새제거제(냉동용),EA," 5,700 ",,,
냉장고냄새제거제(냉장용),EA," 5,700 ",,,
냄새먹는하마(냉장고용),EA," 5,700 ",,,
냄새먹는하마(냉동실용),EA," 5,700 ",,,
매직블럭,BOX," 120,000 ",,,
홈스타(욕실용),EA," 4,200 ",,,
홈스타(주방용),EA," 4,200 ",,,
흰 밀대 대,EA," 8,000 ",,,
흰걸레(밀대용),EA," 6,000 ",,,
손잡이나무인 빗자루,EA," 3,000 ",,,
빗자루,EA," 6,000 ",,,
바닥솔,EA," 5,500 ",,,
쓰레받기,EA," 3,000 ",,,
면 토시(밝은색)여름용,켤레," 3,000 ",,,
플라스틱빗자루,EA," 3,000 ",,,
수수빗자루,EA," 6,000 ",,,
빨간기름걸레 대,EA," 9,000 ",,,
흰색기름걸레 대,EA," 7,000 ",,,
빨간면걸레(기름걸레),EA," 9,000 ",,,
빨간면걸레밀대(기름걸레),EA," 18,000 ",,,
"나일론 빗자루
(손잡이 나무) ",자루," 3,000 ",,,
코팅장갑(10개),묶음," 2,700 ",,,
WD(기름닦는것),EA," 8,500 ",,,
흰비닐,BOX," 23,000 ",,,
본드,EA," 2,300 ",,,
유리세정제,EA," 2,700 ",,,
물티슈 ,EA," 2,500 ",,,
가위(대),EA," 9,000 ",,,
세수비누,EA," 3,500 ",,,
세수비누,BOX," 85,000 ",,,
통돌이(걸레+대+통),SET," 63,000 ",,,
통돌이 걸레,EA," 9,000 ",,,
통돌이 (대),EA," 13,500 ",,,
세탁비누,BOX," 53,000 ",,,
각티슈,set," 12,000 ",,,
면걸레,EA," 4,500 ",,,
극세사청소장갑(대),EA," 2,500 ",,,
통돌이,EA," 45,000 ",,,
검은비닐봉지(큰것),묶음," 27,000 ",,,
"고무장화(식당용),깔창포함",EA," 20,000 ",,,
샴푸,EA," 12,000 ",,,
물앞치마(회색),EA," 30,000 ",,,
50L종량제봉투,EA," 2,090 ",,,
75L종량제봉투,EA," 3,100 ",,,
유리부착손잡이,EA," 3,901 ",,,
크리넥스(탈의실핸드타올),EA," 60,000 ",,,
화장실휴지,EA," 3,700 ",,,
연속비닐,BOX," 102,000 ",,,
연속비닐,ea," 8,000 ",,,
화장실 쓰레기통,ea," 13,000 ",,,
싱크대 대야,ea," 4,500 ",,,
페브리즈방향제,ea," 9,500 ",,,
면보루,포," 70,000 ",,,
수건(분홍색),ea," 2,000 ",,,
병세척솔,ea," 6,000 ",,,
파리채,ea," 6,000 ",,,
영양사신발(간호사실내화),ea," 23,000 ",,,
손소독제겔타입,ea," 6,000 ",,,
아폴로 분무기,ea," 6,000 ",,,
에프킬라,ea," 6,000 ",,,
일회용우비,ea," 1,000 ",,,
다목적 세제(무균무때)-주방용,ea," 9,000 ",,,
베이킹소다 (리필) 1K,ea," 9,000 ",,,
아이깨끗해(손세정제),ea," 8,500 ",,,
흰양말(긴양말),ea," 3,500 ",,,
시장구루마,ea," 25,000 ",,,
크린랩(대),ea," 6,500 ",,,
크린랩(중),ea," 4,500 ",,,
아크릴수세미,ea," 2,500 ",,,
스프레이형 소독제,ea," 5,500 ",,,
방향제 ( 커피향 ),ea," 5,500 ",,,
바퀴벌레스프레이 ( 컴배트)같은거,ea," 5,000 ",,,
유도등,ea," 22,000 ",,,
피죤(리필)노란색,ea," 9,000 ",,,
뜰채,ea," 9,001 ",,,
선풍기날개,ea," 9,002 ",,,
회사깃발,ea," 60,000 ",,,
재해기(초록깃발),ea," 22,000 ",,,
태극기,ea," 20,000 ",,,
종이컵,ea," 14,000 ",,,
극세사 마포걸레,ea," 6,500 ",,,
빨래집게,ea," 9,003 ",,,
계단청소용 약,ea," 12,000 ",,,
변기뚫는거,ea," 12,000 ",,,
세탁세제,ea," 9,000 ",,,
수도꼭지 고정,ea," 9,001 ",,,
손세정제(오릭스-hand cleansing),ea," 9,002 ",,,
종이호일(특대),ea," 9,000 ",,,
핸드카 고정 고무 ,ea," 3,000 ",,,
양면코팅장갑,ea," 1,500 ",,,
고무장갑 속장갑(면장갑),ea," 9,005 ",,,
유한락스세제 멀티액션 곰팡이제거제,ea," 9,000 ",,,
유한락스세제 주방 청소용,ea," 9,000 ",,,
유한락스세제 곰팡이제거용,ea," 9,000 ",,,
실외 쓰레기받이,ea," 9,000 ",,,
